,Titel van het Recept,Ingredienten,Website URLS
52,Lasagne met witte asperges,"['6  tot 8 verse lasagnevellen', '1 kg witte asperges (ongeschild)', '8  plakken ham', 'Handje geraspte mozzarella', 'verse basilicum']",https://www.leukerecepten.nl/recepten/lasagne-met-witte-asperges/
53,Pizza shoarma met puntpaprika,"[' 1  x pizzadeeg (1 rol kant en klaar of zelfgemaakt)', '1  potje pizzasaus a 200 gr', '400 gr shoarmavlees (gekruid)', '1  (punt)paprika', 'Handje ijsberg sla', 'Knoflooksaus', '1  kleine rode ui', 'handje geraspte kaas', '100 gr tomaatjes']",https://www.leukerecepten.nl/recepten/pizza-shoarma-met-puntpaprika/
54,Zalm uit de oven met zoete aardappel,"['2 stukken zalm', '100 gr asperge tips', '1  grote zoete aardappel', '1  kleine rode ui', 'olie', 'snufje zout', 'Lemon pepper kruiden van Jonnie Boer (of zwarte peper met citroenrasp)', '250 gr tomaatjes']",https://www.leukerecepten.nl/recepten/zalm-uit-de-oven-met-zoete-aardappel/
55,Kip parmezaan met pasta uit 1 pan,"['150 gr pasta penne', '250 gr kip', 'Handje panko (of paneermeel)', '1 theelepel italiaanse kruiden', '1 teentje knoflook', '400 ml kippenbouillon', '150 gr gezeefde tomaten', '1  bol mozzarella', 'Handje geraspte kaas', 'Verse basilicum']",https://www.leukerecepten.nl/recepten/kip-parmezaan-met-pasta-uit-1-pan/
56,Couscous salade met munt,"['150 gr couscous (volkoren)', '150 gr peultjes', '100 gr radijsjes', '100 gr erwtjes', '125 gr geitenkaas', '2 eetlepels pistache noten', 'paar takjes munt', '1  limoen', '2 eetlepels olijfolie', '2 eetlepels limoensap', '1 eetlepel honing', 'Snufje peper en zout']",https://www.leukerecepten.nl/recepten/couscous-salade-met-munt/
57,Kip kerrie,"['150 gr rijst', '275 gr kip', '200 gr ananas', '200 gr sperziebonen', '1  ui', '½   blokje kippenbouillon', '125 ml creme fraiche', 'snufje komijn', '1 eetlepel kerriepoeder', '1 eetlepel limoensap', 'verse peterselie', 'optioneel: maïzena', 'Optioneel: Snufje chili']",https://www.leukerecepten.nl/recepten/kip-kerrie/
58,Raapstelen stamppot,"['200 gr raapstelen', '600 gr kruimige aardappels', '60 gr  gedroogde tomaatjes', '125 gr belegen kaas (met walnoten)', 'Paar druppels Maggie', 'Scheutje melk', 'Klontje boter']",https://www.leukerecepten.nl/recepten/raapstelen-stamppot/
59,Gezonde pastasalade,"['120 gr volkoren pasta', '1  avocado', 'Handje rucola', '1  courgette (of gegrilde paprika)', '1  bol mozzarella', 'verse basilicum', 'Handje pistache (ongezouten)', '12  cherrytomaatjes']",https://www.leukerecepten.nl/recepten/gezonde-pastasalade/
60,Groene asperges met aardappeltjes en ei,"['1 kg krieltjes in schil', 'scheut olijfolie', '1 theelepel italiaanse kruiden', '500 gr groene asperges', '4  eieren', '85 gr veldsla', '4 eetlepels pijnboompitten (geroosterd)', 'verse basilicum', '4 eetlepels parmezaanse kaas']",https://www.leukerecepten.nl/recepten/groene-asperges-met-aardappeltjes-en-ei/
61,Gehaktschotel met hete bliksem,"['500 gr geschilde kruimige aardappels', '2  appels', '1  ui', 'Klont boter', 'Scheut melk', 'peper en zout', 'Snufje kaneel', '300 gr rundergehakt', 'Snuf kerriepoeder', '200 gr prei (fijngesneden)']",https://www.leukerecepten.nl/recepten/gehaktschotel-met-hete-bliksem/
62,Noedels met zalm teriyaki en broccoli,"['1  x recept (zalm teriyaki)', '400 gr broccoli', '250 gr (wok) noedels', '75 gr cashewnoten', '2  bosuien', '1 eetlepel sesamzaadjes', '1  rode peper']",https://www.leukerecepten.nl/recepten/noedels-met-zalm-teriyaki-en-broccoli/
63,Chili con carne,"['1  grote ui', '2  rode paprika’s', '2  eetlepels kruidenmix voor (chili con carne )', '1 eetlepels olijfolie', '500 gr rundergehakt', '450 gr rode/bruine bonen', '1  blik tomatenblokjes a 400 gr', '1  klein blikje tomatenpuree', '200 ml gezeefde tomaten', '1  klein blikje mais a 150 gr', '250 ml zure room', 'peterselie (fijngehakt)', '300 gr rijst voor erbij']",https://www.leukerecepten.nl/recepten/chili-con-carne/
64,Bami goreng,"['16  nestjes mie (250 gr)', '1  teen knoflook', '1  paprika', '450 gr bami/nasi groente', '1 eetlepel olie', '2 eetlepels ketjap', 'handje cashewnoten (ongezouten)', '1 theelepel sambal', 'snuf paprikapoeder', '½ theelepel gemberpoeder', 'Snuf kurkuma', 'Lekker met: kroepoek, kippenvleugels en/of een eitje']",https://www.leukerecepten.nl/recepten/bami-goreng/
65,Cannelloni met asperges en geitenkaas,"['12  verse pastavellen (250 gr )', '700 gr groene asperges', '12  plakken parmaham', '40 gr bloem', '30 gr boter', '400 ml melk', '200 gr geitenkaas', 'peper en zout', '1  klein zakje croutons a 50 gr']",https://www.leukerecepten.nl/recepten/cannelloni-met-asperges-en-geitenkaas/
66,Italiaanse groentesoep,"['1 liter groentebouillon', '1  kleine ui', '1/2 eetlepel italiaanse kruiden', '1  courgette', '1  paprika', '200 gr  gesneden prei', '70 gr tomatenpuree', '75 gr macaroni', 'olijfolie']",https://www.leukerecepten.nl/recepten/italiaanse-groentesoep/
67,Aubergine schnitzels,"['1  aubergine', '1  ei', 'bordje bloem', 'bordje panko', 'Snuf komijn', '1 eetlepel peterselie', '250 gr tomaatjes aan tak', '1 eetlepel grof gehakte amandel', '450 gr zoete aardappelpuree', 'peper en zout']",https://www.leukerecepten.nl/recepten/aubergine-schnitzels/
